lift_id,for_display,lat,lon,elevation,slope,index
141914144,True,43.66534990,-72.54454910,227.70,0.00,0
141914144,True,43.66504970,-72.54485730,231.55,5.29,1
141914144,True,43.66476750,-72.54514705,240.86,13.40,2
141914144,True,43.66448530,-72.54543680,252.11,16.06,3
141914144,True,43.66422400,-72.54570505,262.97,16.70,4
141914144,True,43.66396270,-72.54597330,274.30,17.38,5
141914144,True,43.66375012,-72.54619153,285.36,20.59,6
141914144,True,43.66353755,-72.54640975,294.03,16.41,7
141914144,True,43.66332498,-72.54662798,305.15,20.69,8
141914144,True,43.66311240,-72.54684620,322.85,31.01,9
141914144,True,43.66276880,-72.54719895,345.44,25.39,10
141914144,True,43.66242520,-72.54755170,363.95,21.25,11
141914144,True,43.66221415,-72.54776840,377.13,24.27,12
141914144,True,43.66200310,-72.54798510,388.36,21.01,13
141914144,True,43.66176250,-72.54823210,398.79,17.38,14
141914144,True,43.66151950,-72.54848150,404.56,9.73,15
141914144,True,43.66131280,-72.54869370,407.82,6.50,16
141914145,True,43.66437350,-72.54301980,227.97,0.00,0
141914145,True,43.66415250,-72.54308430,230.00,4.62,1
141914145,True,43.66392390,-72.54315107,233.58,7.85,2
141914145,True,43.66369530,-72.54321785,241.49,16.93,3
141914145,True,43.66346670,-72.54328463,248.52,15.14,4
141914145,True,43.66323810,-72.54335140,254.58,13.13,5
141914145,True,43.66300990,-72.54341800,260.06,11.93,6
141914145,True,43.66278170,-72.54348460,265.78,12.44,7
141914145,True,43.66241195,-72.54359260,274.42,11.62,8
141914145,True,43.66204220,-72.54370060,283.01,11.55,9
141914145,True,43.66176275,-72.54378215,287.70,8.40,10
141914145,True,43.66148330,-72.54386370,293.30,10.00,11
141914145,True,43.66110740,-72.54397350,301.75,11.19,12
141914145,True,43.66073150,-72.54408330,309.29,10.01,13
141914145,True,43.66035440,-72.54419340,314.59,7.05,14
141914145,True,43.66024780,-72.54422450,316.89,10.75,15
255800296,True,43.66429880,-72.54207810,224.73,0.00,0
255800296,True,43.66402910,-72.54214742,225.75,1.92,1
255800296,True,43.66375940,-72.54221675,228.57,5.28,2
255800296,True,43.66348970,-72.54228607,232.30,6.97,3
255800296,True,43.66322000,-72.54235540,239.98,14.13,4
