lift_id,for_display,lat,lon,elevation,slope,index
255545108,True,43.36282250,-72.33239370,184.21,0.00,0
255545108,True,43.36261530,-72.33220267,187.86,7.50,1
255545108,True,43.36240810,-72.33201165,192.14,8.77,2
255545108,True,43.36220090,-72.33182063,196.59,9.11,3
255545108,True,43.36199370,-72.33162960,201.33,9.70,4
255545108,True,43.36178650,-72.33143857,206.55,10.66,5
255545108,True,43.36157930,-72.33124755,211.62,10.36,6
255545108,True,43.36137210,-72.33105653,217.90,12.76,7
255545108,True,43.36116490,-72.33086550,224.83,14.03,8
255545109,True,43.36292550,-72.33236910,182.95,0.00,0
255545109,True,43.36263317,-72.33209797,188.29,7.76,1
255545109,True,43.36234085,-72.33182685,194.59,9.13,2
255545109,True,43.36204853,-72.33155573,201.31,9.73,3
255545109,True,43.36175620,-72.33128460,208.53,10.43,4
